Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VSTOXX,EURIBOR3M,Daily_STIR,Option_Price
2023-07-28,4466.5,0.012922157574583001,0.20513289206841723,0.152189,0.0381,0.0001511904761904762,1.4518211915656138
2023-07-31,4471.31,0.011530442177583457,0.18304009505097532,0.162264,0.03825,0.00015178571428571427,1.2970050861158597
2023-08-01,4407.54,0.010329674696570841,0.1639785022279382,0.171897,0.0381999999999999,0.0001515873015873012,1.1455014275761641
2023-08-02,4336.5,0.011583796215443398,0.18388706414468647,0.1970589999999999,0.0381,0.0001511904761904762,1.2637098086383958
2023-08-03,4304.63,0.012866539224760241,0.20424997813664034,0.196507,0.0381499999999999,0.0001513888888888885,1.3931908030886007
2023-08-04,4332.91,0.01195024882315877,0.18970431894852238,0.183516,0.03825,0.00015178571428571427,1.3025718885401147
2023-08-07,4337.5,0.010965337932451087,0.1740693432662925,0.186231,0.0382999999999999,0.00015198412698412658,1.1965926129964828
2023-08-08,4288.85,0.009889461015004325,0.1569903266770191,0.195393,0.0383499999999999,0.00015218253968253927,1.067211899596714
2023-08-09,4317.33,0.010543594841908114,0.1673743792578735,0.189796,0.0384,0.00015238095238095237,1.1452730898854497
2023-08-10,4384.04,0.009912273851771403,0.1573524692337327,0.180764,0.0384999999999999,0.0001527777777777774,1.0934170022837861
2023-08-11,4321.33,0.01116940911910835,0.17730887292418626,0.183746,0.03855,0.0001529761904761905,1.2143022623858997
2023-08-14,4330.23,0.01212769614350244,0.19252120783118737,0.180529,0.0387,0.00015357142857142856,1.3210919059783919
2023-08-15,4288.57,0.010812115160206495,0.17163700716298602,0.188579,0.0387999999999999,0.00015396825396825356,1.1665973769886477
2023-08-16,4284.27,0.010829608480925892,0.17191470502035533,0.1855099999999999,0.03885,0.00015416666666666668,1.167312827065416
2023-08-17,4227.83,0.00981586863197075,0.15582208381364643,0.203539,0.0389,0.00015436507936507934,1.0442272093159772
2023-08-18,4212.95,0.010977149288641156,0.17425684273304448,0.202456,0.03885,0.00015416666666666668,1.1635016039654147
2023-08-21,4224.87,0.010083433645840826,0.16006954673109702,0.198367,0.03905,0.00015496031746031747,1.071909863331257
2023-08-22,4260.37,0.009253558267440726,0.1468956835085633,0.191293,0.0389,0.00015436507936507934,0.9920591927279929
2023-08-23,4266.67,0.009223453269952655,0.14641778148912135,0.184996,0.0383499999999999,0.00015218253968253927,0.9902796812102679
2023-08-24,4232.22,0.008559592143423524,0.13587931281384577,0.189039,0.0382999999999999,0.00015198412698412658,0.9116741296611508
2023-08-25,4236.25,0.008983431812439742,0.1426075589737308,0.184734,0.0383499999999999,0.00015218253968253927,0.9576663514194479
2023-08-28,4293.69,0.008373541297714397,0.13292584720008815,0.178175,0.0385999999999999,0.00015317460317460277,0.9048499536042982
2023-08-29,4326.47,0.009741477408983137,0.15464115975913936,0.167835,0.0384999999999999,0.0001527777777777774,1.0604881231265608
2023-08-30,4315.31,0.00945320535950082,0.15006498284197267,0.165618,0.0386499999999999,0.00015337301587301546,1.0264952067132072
2023-08-31,4297.11,0.008856356241842228,0.14059029682865487,0.160638,0.0381,0.0001511904761904762,0.957693217585529
2023-09-01,4282.64,0.008575360614151492,0.1361296295264578,0.159449,0.03805,0.0001509920634920635,0.9242239168343076
2023-09-04,4279.87,0.008279167758425488,0.13142771370826753,0.166633,0.0381499999999999,0.0001513888888888885,0.8917717952608655
2023-09-05,4269.16,0.007874484952023626,0.1250035733146494,0.163544,0.0381499999999999,0.0001513888888888885,0.846122542482135
2023-09-06,4238.26,0.007693075513454843,0.1221237877550523,0.168029,0.0383499999999999,0.00015218253968253927,0.820682812418454
2023-09-07,4221.02,0.008245611285727069,0.13089502121844826,0.169887,0.0383499999999999,0.00015218253968253927,0.8759565968707648
2023-09-08,4237.19,0.008119640366505448,0.12889529487032858,0.161885,0.0384,0.00015238095238095237,0.8658999269327978
2023-09-11,4254.33,0.007849915268998416,0.12461354168819105,0.162321,0.0384999999999999,0.0001527777777777774,0.8405681771623676
2023-09-12,4242.27,0.007673002253716782,0.12180513463543641,0.165155,0.0387,0.00015357142857142856,0.8193309378148115
2023-09-13,4223.48,0.007579631358079325,0.12032291761814795,0.165042,0.03905,0.00015496031746031747,0.8058031771684
2023-09-14,4279.75,0.007699524336254098,0.122226159643308,0.147497,0.0395499999999999,0.00015694444444444404,0.8294508679032333
2023-09-15,4295.05,0.009281260327838294,0.14733544008425964,0.147262,0.03935,0.00015615079365079366,1.0031400459370161
2023-09-18,4245.88,0.008687527088649172,0.13791021710821616,0.161549,0.03903,0.0001548809523809524,0.9282921451226684
2023-09-19,4242.7,0.009832608004558324,0.15608781311546624,0.163475,0.04025,0.00015972222222222223,1.049729862103959
2023-09-20,4275.98,0.009042281968802017,0.14354177624384187,0.154074,0.04015,0.00015932539682539683,0.9730325510681723
2023-09-21,4212.59,0.008985884476680297,0.1426464938115111,0.171196,0.0401,0.0001591269841269841,0.9526353981609645
2023-09-22,4207.16,0.010933389374301114,0.17356217562862103,0.1696069999999999,0.0401,0.0001591269841269841,1.157317250590495
2023-09-25,4167.37,0.009907230162086167,0.1572724031421488,0.190808,0.04,0.00015873015873015873,1.0388986728949021
2023-09-26,4129.18,0.01017220977805439,0.1614788241402687,0.197747,0.0401,0.0001591269841269841,1.0568784277697887
2023-09-27,4131.68,0.010295472597058413,0.16343556073018117,0.1951139999999999,0.0400499999999999,0.000158928571428571,1.070315453360763
2023-09-28,4161.56,0.009371378190854934,0.14876601680961932,0.188228,0.0401,0.0001591269841269841,0.981411972222304
2023-09-29,4174.66,0.009129765540521318,0.1449305348912796,0.174704,0.03995,0.00015853174603174604,0.959148006777923
2023-10-02,4137.63,0.008548810394258456,0.13570815785191145,0.189158,0.03995,0.00015853174603174604,0.8902309135455653
2023-10-03,4095.59,0.009140874166714316,0.1451068788651651,0.201991,0.0398999999999999,0.00015833333333333294,0.9421230529892455
2023-10-04,4099.85,0.009811996698004597,0.15576061876744257,0.202158,0.0398999999999999,0.00015833333333333294,1.0122509261982486
2023-10-05,4099.81,0.00900139024895613,0.14289264031547821,0.1965599999999999,0.03985,0.00015813492063492063,0.9287208400487543
2023-10-06,4144.43,0.008394117724702213,0.1332524878521684,0.186464,0.03995,0.00015853174603174604,0.8755821727104376
2023-10-09,4112.57,0.009117000941074222,0.1447279031569454,0.202398,0.0398999999999999,0.00015833333333333294,0.9435616552405008
2023-10-10,4205.23,0.009286748814919744,0.14742256711560867,0.186124,0.03995,0.00015853174603174604,0.9827618442122912
2023-10-11,4200.8,0.012901347127348452,0.20480253646008933,0.177664,0.0398999999999999,0.00015833333333333294,1.3633188648263967
2023-10-12,4198.23,0.011436918153117214,0.18155544718888972,0.1716339999999999,0.03995,0.00015853174603174604,1.2079809282272436
2023-10-13,4136.12,0.010274662802563448,0.16310521548377296,0.201795,0.0398999999999999,0.00015833333333333294,1.0692976830978296
2023-10-16,4149.86,0.011692792232355018,0.1856173222725549,0.199156,0.04,0.00015873015873015873,1.2207499063706564
2023-10-17,4152.32,0.010517144372005674,0.16695449106533755,0.198746,0.0401999999999999,0.00015952380952380914,1.0987990354769863
2023-10-18,4105.86,0.009542177182044795,0.15147736673883383,0.216373,0.0401999999999999,0.00015952380952380914,0.9859033633415493
2023-10-19,4090.33,0.010310721589019193,0.16367763097301705,0.223032,0.0401999999999999,0.00015952380952380914,1.0611760365488863
2023-10-20,4024.68,0.009602769785919004,0.15243924450567986,0.233334,0.0400499999999999,0.000158928571428571,0.9725341686507818
2023-10-23,4041.75,0.011649021272895167,0.18492247983229018,0.219351,0.0401,0.0001591269841269841,1.1845047924082337
2023-10-24,4065.37,0.010535278838522663,0.16724236679671425,0.2098799999999999,0.04,0.00015873015873015873,1.0776364070616182
2023-10-25,4073.35,0.009818721874326815,0.15586737763187247,0.205753,0.0398999999999999,0.00015833333333333294,1.006396527349807
2023-10-26,4049.4,0.00902124301961791,0.14320779327951824,0.215031,0.0396999999999999,0.00015753968253968216,0.9193171140364029
2023-10-27,4014.36,0.008916503891371523,0.1415451111642524,0.207887,0.03965,0.00015734126984126982,0.9007939737143715
2023-10-30,4028.32,0.009338724102747747,0.14824764923109207,0.20949,0.0395999999999999,0.00015714285714285675,0.9466686370983552
