Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VIX,SOFR3M,Daily_STIR,Option_Price
2020-04-06,2663.68,0.024240374216576828,0.38480401118522667,0.4524,0.00055,2.182539682539683e-06,1.6226849510828742
2020-04-07,2659.41,0.031150042818134837,0.4944915997547903,0.467,0.00055,2.182539682539683e-06,2.081881815134693
2020-04-08,2749.98,0.02927509118827771,0.4647276653575272,0.4335,0.0004999999999999,1.9841269841265876e-06,2.0232048056298026
2020-04-09,2789.82,0.02938315400486977,0.46644310938958183,0.4167,0.00045,1.7857142857142857e-06,2.0600910268083226
2020-04-13,2761.63,0.027940511246653015,0.44354186557588293,0.4117,0.0004999999999999,1.9841269841265876e-06,1.9391527160153146
2020-04-14,2846.06,0.026488130717771778,0.42048603944516966,0.3776,0.0006499999999999,2.5793650793646827e-06,1.8945603511006084
2020-04-15,2783.36,0.026565149951579013,0.42170868187810573,0.4084,0.0006,2.3809523809523808e-06,1.8582086149028783
2020-04-16,2799.55,0.02601896028986869,0.4130381897967456,0.4011,0.0006499999999999,2.5793650793646827e-06,1.8305909475743647
2020-04-17,2874.56,0.024510473265073298,0.38909170065528764,0.3815,0.0004999999999999,1.9841269841265876e-06,1.7706617315723179
2020-04-20,2823.16,0.024429278974897415,0.38780278125718487,0.4382999999999999,0.0004999999999999,1.9841269841265876e-06,1.733239894870394
2020-04-21,2736.56,0.023735227105732986,0.37678504940045315,0.4540999999999999,0.0003749999999999,1.4880952380948413e-06,1.632338671587604
2020-04-22,2799.31,0.024508018099097594,0.38905272610369307,0.4197999999999999,0.0003749999999999,1.4880952380948413e-06,1.724134018549421
2020-04-23,2797.8,0.024058254204604418,0.381912945622544,0.4138,0.0003749999999999,1.4880952380948413e-06,1.6915804166467296
2020-04-24,2836.74,0.02262924306342993,0.3592280970208142,0.3593,0.0003249999999999,1.289682539682143e-06,1.6132485058067232
2020-04-27,2878.48,0.021680640326446003,0.3441694954104861,0.3329,0.000275,1.0912698412698414e-06,1.5683637926113079
2020-04-28,2863.39,0.020860527112277,0.3311506017408319,0.3357,0.0003249999999999,1.289682539682143e-06,1.5011277898518074
2020-04-29,2939.51,0.01972820943920233,0.31317561593235843,0.3123,0.00015,5.952380952380952e-07,1.4573820403777518
2020-04-30,2912.43,0.020237938031129957,0.32126730647463614,0.3414999999999999,0.0001749999999999,6.944444444440476e-07,1.4812647899709646
2020-05-01,2830.71,0.01931724374739556,0.3066517378249564,0.3718999999999999,0.00025,9.92063492063492e-07,1.3742067190578382
2020-05-04,2842.74,0.020414373537033313,0.32406813330100903,0.3596999999999999,0.0001999999999999,7.936507936503968e-07,1.458425655323481
2020-05-05,2868.44,0.019247010933423358,0.30553682646707614,0.3361,0.0003499999999999,1.388888888888492e-06,1.3874626630122293
2020-05-06,2848.42,0.01830877144372926,0.29064273630737175,0.3411999999999999,0.0003499999999999,1.388888888888492e-06,1.3106164086609624
2020-05-07,2881.19,0.017426427322293103,0.2766359576107727,0.3144,0.0004,1.5873015873015873e-06,1.2618076426699645
2020-05-08,2929.8,0.01676406885212583,0.2661213428657339,0.2798,0.00045,1.7857142857142857e-06,1.2343287270439305
2020-05-11,2930.32,0.016587002781957363,0.26331050614197427,0.2757,0.0004749999999999,1.884920634920238e-06,1.2215089045384957
2020-05-12,2870.12,0.015643104425386828,0.248326584255525,0.3303999999999999,0.0004749999999999,1.884920634920238e-06,1.1283320055476906
2020-05-13,2820.0,0.016263941029256344,0.25818205980739295,0.3528,0.0004,1.5873015873015873e-06,1.1526249620303588
2020-05-14,2852.5,0.01641251166797593,0.26054054558046125,0.3261,0.0004,1.5873015873015873e-06,1.1765592207057125
2020-05-15,2863.7,0.01583931071065558,0.25144126247445847,0.3189,0.0004,1.5873015873015873e-06,1.139926919945765
2020-05-18,2953.91,0.014975951464583087,0.23773585933116229,0.293,0.0004,1.5873015873015873e-06,1.1117447700917182
2020-05-19,2922.94,0.017058788607084603,0.27079987393420674,0.3053,0.0003499999999999,1.388888888888492e-06,1.253085351135951
2020-05-20,2971.61,0.01647938450768809,0.2616021190005196,0.2799,0.0003249999999999,1.289682539682143e-06,1.2306803219630638
2020-05-21,2948.51,0.016313056612248772,0.25896174551596846,0.2953,0.0003249999999999,1.289682539682143e-06,1.2087888193652816
2020-05-22,2955.45,0.01562673428687762,0.24806671636298672,0.2816,0.0003249999999999,1.289682539682143e-06,1.1606584847711474
2020-05-26,2991.77,0.01475370007399885,0.23420772788301725,0.2801,0.0003749999999999,1.4880952380948413e-06,1.1092830842553667
2020-05-27,3036.13,0.014389260718284766,0.2284224324639128,0.2762,0.0004,1.5873015873015873e-06,1.0979243227527604
2020-05-28,3029.73,0.01428394239213705,0.2267505558670061,0.2859,0.0003749999999999,1.4880952380948413e-06,1.0875904085135062
2020-05-29,3044.31,0.013526450150809752,0.2147257393233284,0.2751,0.0003499999999999,1.388888888888492e-06,1.034870512517955
2020-06-01,3055.73,0.0128503846367494,0.20399353200218398,0.2823,0.0003499999999999,1.388888888888492e-06,0.9868351117650036
2020-06-02,3080.82,0.012194810282020891,0.19358661175104436,0.2683999999999999,0.0003499999999999,1.388888888888492e-06,0.9441805763997309
2020-06-03,3122.87,0.011781744137772025,0.18702938999482735,0.2566,0.0004,1.5873015873015873e-06,0.9246511118226408
2020-06-04,3112.35,0.011869605088645426,0.18842413935061544,0.2581,0.0003749999999999,1.4880952380948413e-06,0.9284078039161159
2020-06-05,3193.93,0.011327092812998568,0.17981202396324758,0.2452,0.0003749999999999,1.4880952380948413e-06,0.9091973103070359
2020-06-08,3232.39,0.01334743329396526,0.21188393482113455,0.2581,0.0004,1.5873015873015873e-06,1.0842648339005336
2020-06-09,3207.18,0.013104372810800059,0.20802546926912058,0.2757,0.0003749999999999,1.4880952380948413e-06,1.0562172363711397
