Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Option_Price
2020-04-08,7161.45,0.018545304312842938,0.29439757919877607,0.522425,0.0563,0.00022341269841269842,3.340854021704672
2020-04-09,7441.65,0.017454064604265407,0.2770746858608476,0.49745,0.0562,0.00022301587301587302,3.267483704993083
2020-04-13,7360.35,0.02018138739791938,0.32036959300288564,0.514575,0.056,0.00022222222222222223,3.7362554008564075
2020-04-15,7344.35,0.01937949119222256,0.3076398853775251,0.49735,0.0558,0.00022142857142857145,3.5801153768106815
2020-04-16,7412.3,0.018267490536704775,0.28998742222407997,0.46095,0.0545,0.00021626984126984128,3.4060211059245376
2020-04-17,7614.4,0.017373199833921115,0.27579099742790353,0.425925,0.0538,0.0002134920634920635,3.327716889484691
2020-04-20,7614.6,0.018246537984321604,0.28965481076645244,0.43455,0.0529,0.00020992063492063494,3.494874378120585
2020-04-21,7395.85,0.017179241142051015,0.2727119986480574,0.451975,0.0529,0.00020992063492063494,3.196101566139987
2020-04-22,7533.8,0.018831075021110075,0.2989340485551459,0.428225,0.0529,0.00020992063492063494,3.5684610244520627
2020-04-23,7625.3,0.018531661612395025,0.2941810080431969,0.3923,0.0527,0.0002091269841269841,3.554411951525708
2020-04-24,7493.45,0.017768238431746422,0.28206204075660807,0.391175,0.0527,0.0002091269841269841,3.3491860460044336
2020-04-27,7603.95,0.017749846675217458,0.2817700806729123,0.380425,0.0528,0.0002095238095238095,3.3950652727853594
2020-04-28,7672.45,0.01723131883912558,0.2735387064599309,0.35355,0.0528,0.0002095238095238095,3.325669075688893
2020-04-29,7797.2,0.016403808757403143,0.2604023911581131,0.338375,0.0529,0.00020992063492063494,3.217597189744083
2020-04-30,8012.9,0.01614464876632415,0.2562883538410767,0.339875,0.0529,0.00020992063492063494,3.254420507888881
2020-05-04,7596.9,0.017282829427388458,0.2743564116985122,0.4367,0.0529,0.00020992063492063494,3.3027617362977253
2020-05-05,7523.05,0.023737399085456544,0.3768195285096604,0.436075,0.0526,0.00020873015873015873,4.49094899685133
2020-05-06,7575.5,0.02258649344251984,0.3585494678273919,0.412475,0.0525,0.00020833333333333332,4.303144390042235
2020-05-08,7552.0,0.02130850655266067,0.33826205489118233,0.384075,0.0521,0.00020674603174603175,4.047223734014551
2020-05-11,7556.4,0.020087577387786236,0.3188804052590812,0.380375,0.0521,0.00020674603174603175,3.8177276210058153
2020-05-12,7520.9,0.018897546605762375,0.29998925224860007,0.38205,0.0524,0.00020793650793650794,3.5748848318976343
2020-05-13,7667.0,0.017885413230345343,0.283922133018709,0.38835,0.0519,0.00020595238095238096,3.449282803722781
2020-05-14,7514.55,0.017763111201669467,0.28198064850241866,0.381825,0.0521,0.00020674603174603175,3.357612887047253
2020-05-15,7504.05,0.018042077921914836,0.2864091078974141,0.380175,0.0521,0.00020674603174603175,3.4055300280542724
2020-05-18,7245.25,0.017005088916852595,0.2699474177791962,0.40915,0.052,0.00020634920634920634,3.099259053652986
2020-05-19,7284.5,0.01972751280028909,0.31316455713245017,0.394525,0.0522,0.00020714285714285716,3.614445233839888
2020-05-20,7426.85,0.018603738514761253,0.2953251933967944,0.3581,0.052,0.00020634920634920634,3.475319436145128
